,location,coordinates,country
359,Mondorf-les-Bains,"(6.2814238, 49.5071747)",Lëtzebuerg
360,Dunkirk,"(2.3772525, 51.0347708)",France
361,Armentières,"(2.882169, 50.6867281)",France
362,Maastricht,"(5.6909768, 50.8512438)",Nederland
363,Dunkerque,"(2.3772525, 51.0347708)",France
364,Wanze,"(5.2143865, 50.5368559)",België / Belgique / Belgien
365,Prapoutel,"(5.9954353, 45.2567786)",France
366,Dublin,"(-6.2602732, 53.3497645)",Éire / Ireland
367,Vitoria-Gasteiz,"(-2.6724025, 42.8465088)",España
368,Liège,"(5.5734203, 50.6451381)",België / Belgique / Belgien
369,Mazamet,"(2.3764363, 43.4902317)",France
370,Saint Grégoire,"(-1.685398, 48.1524129)",France
371,Challans,"(-1.8773787, 46.847943)",France
372,Le Touquet-Paris-Plage,"(1.5909325, 50.5211202)",France
373,Orchies,"(3.2425313, 50.4745024)",France
374,Noisy-le-Sec,"(2.4516055, 48.8897751)",France
375,Châteaubriant,"(-1.3757282, 47.7194057)",France
376,Issoire,"(3.2449840737596505, 45.54420155)",France
377,Bastogne,"(5.7173386, 50.0023102)",België / Belgique / Belgien
378,Ghent,"(3.7250121, 51.0538286)",België / Belgique / Belgien
379,Montereau-Fault-Yonne,"(2.9557006, 48.3849647)",France
380,Saint-Gervais,"(5.4820229, 45.2022356)",France
381,Bourg-Saint-Maurice,"(6.7694313, 45.6185284)",France
382,Les Échelles,"(5.7545566, 45.4358859)",France
383,Leeds,"(-1.5437941, 53.7974185)",United Kingdom
384,Colmar,"(7.3579641, 48.0777517)",France
385,Carcassonne,"(2.3491069, 43.2130358)",France
386,Montélimar,"(4.750318, 44.5579391)",France
387,Mers-les-Bains,"(1.3889703, 50.0656325)",France
388,Mont-de-Marsan,"(-0.500972, 43.8911318)",France
389,'s-Hertogenbosch,"(5.303116, 51.6889387)",Nederland
390,Mülhausen,"(7.3389937, 47.7467233)",France
391,Col du Galibier-Serre Chevalier,,
392,Morzine,"(6.7091057, 46.1799561)",France
